전체,컬럼별,사례수,처음부터 제주 선택,해외여행 검토,국내 다른 지역 검토
권역,서울/경인권,674,66.8,17.5,15.7
권역,경상권,170,76.5,7.6,15.9
권역,호남권,72,61.1,19.4,19.4
권역,충청/강원권,84,60.7,23.8,15.5
제주여행 계획월,7월,303,71,15.5,13.5
제주여행 계획월,8월,697,66,16.9,17.1
성별,남자,580,63.6,20.7,15.7
성별,여자,420,72.9,10.7,16.4
연령,15~20세,33,57.6,24.2,18.2
연령,21~30세,153,72.5,13.1,14.4
연령,31~40세,278,72.3,16.2,11.5
연령,41~50세,315,66,16.2,17.8
연령,51~60세,155,61.3,16.1,22.6
연령,61세 이상,66,62.1,24.2,13.6
직업,학생,65,64.6,16.9,18.5
직업,사무/전문직,663,65.9,17.6,16.4
직업,판매/기술직,106,76.4,15.1,8.5
직업,자영업,59,61,18.6,20.3
직업,전업주부,77,79.2,6.5,14.3
직업,기타(무직 등),30,60,16.7,23.3
월 평균 가구소득,400만원 미만,205,72.7,13.7,13.7
월 평균 가구소득,400-599만원,324,67.9,17.6,14.5
월 평균 가구소득,600-799만원,220,68.6,15,16.4
월 평균 가구소득,800만원 이상,251,61.8,18.7,19.5
거주지역,서울특별시,429,69.5,15.6,14.9
거주지역,부산광역시,67,80.6,7.5,11.9
거주지역,대구광역시,51,82.4,5.9,11.8
거주지역,인천광역시,59,61,25.4,13.6
거주지역,광주광역시,37,62.2,18.9,18.9
거주지역,대전광역시,33,60.6,18.2,21.2
거주지역,울산광역시,21,52.4,14.3,33.3
거주지역,세종특별자치도,3,33.3,66.7,0
거주지역,경기도,186,62.4,19.4,18.3
거주지역,강원도,16,62.5,18.8,18.8
거주지역,충청도,32,62.5,28.1,9.4
거주지역,전라도,35,60,20,20
거주지역,경상도,31,74.2,6.5,19.4
전체,,1000,67.5,16.5,16
