base_year_month,sex,age_range,time_range,visit_population_count
201801,남성,10세 미만,1-2시,784277.63
201801,남성,10세 미만,11-12시,1088787.98
201801,남성,10세 미만,13-14시,1200092.88
201801,남성,10세 미만,15-16시,1281607.29
201801,남성,10세 미만,17-18시,1311753.45
201801,남성,10세 미만,21-22시,1241880.09
201801,남성,10세 미만,23-24시,973130.01
201801,남성,10세 미만,3-4시,788954.24
201801,남성,10세 미만,5-6시,789864.32
201801,남성,10세 미만,7-8시,840504.57
201801,남성,19세 이하,1-2시,933784.06
201801,남성,19세 이하,11-12시,1290275.84
201801,남성,19세 이하,13-14시,1420498.59
201801,남성,19세 이하,15-16시,1515888.7
201801,남성,19세 이하,17-18시,1551172.15
201801,남성,19세 이하,21-22시,1469347.84
201801,남성,19세 이하,23-24시,1154786.57
201801,남성,19세 이하,3-4시,939253.86
201801,남성,19세 이하,5-6시,940331.98
201801,남성,19세 이하,7-8시,999614.94
201801,남성,29세 이하,19-20시,1626895.33
201801,남성,29세 이하,9-10시,1434948.89
201801,남성,39세 이하,1-2시,986478.98
201801,남성,39세 이하,11-12시,1670875.33
201801,남성,39세 이하,13-14시,1757239.11
201801,남성,39세 이하,15-16시,1784999.47
201801,남성,39세 이하,17-18시,1704983.82
201801,남성,39세 이하,21-22시,1556405.98
201801,남성,39세 이하,23-24시,1223899.36
201801,남성,39세 이하,3-4시,977484.8
201801,남성,39세 이하,5-6시,997710.74
201801,남성,39세 이하,7-8시,1190623.58
201801,남성,49세 이하,19-20시,2312667.44
201801,남성,49세 이하,9-10시,2182532.9
201801,남성,59세 이하,1-2시,1175898.22
201801,남성,59세 이하,11-12시,2433670.82
201801,남성,59세 이하,13-14시,2553444.32
201801,남성,59세 이하,15-16시,2576478.32
201801,남성,59세 이하,17-18시,2422290.89
201801,남성,59세 이하,21-22시,2095969.39
201801,남성,59세 이하,23-24시,1565097.84
201801,남성,59세 이하,3-4시,1173140.64
201801,남성,59세 이하,5-6시,1227252.35
201801,남성,59세 이하,7-8시,1625410.67
201801,남성,69세 이하,19-20시,1182094.49
201801,남성,69세 이하,9-10시,1093307.39
201801,남성,79세 이하,1-2시,194153.08
201801,남성,79세 이하,11-12시,470850.63
201801,남성,79세 이하,13-14시,506101.74
201801,남성,79세 이하,15-16시,512811.23
201801,남성,79세 이하,17-18시,480665.41
201801,남성,79세 이하,21-22시,423451.76
201801,남성,79세 이하,23-24시,300240.68
201801,남성,79세 이하,3-4시,202319.94
201801,남성,79세 이하,5-6시,215482.16
201801,남성,79세 이하,7-8시,260949.92
201801,남성,80세 이상,1-2시,73812.81
201801,남성,80세 이상,11-12시,179695.99
201801,남성,80세 이상,13-14시,193181.66
201801,남성,80세 이상,15-16시,195747.76
201801,남성,80세 이상,17-18시,183441.75
201801,남성,80세 이상,21-22시,161560.77
201801,남성,80세 이상,23-24시,114414.1
