전체,컬럼별,사례수,다른 지역 대비 전염병 안전지역이라고 생각해서,청정한 자연환경을 느끼고 싶어서,"이동 거리가 적당해서(물리적, 시간적 거리)",여행 비용이 적당해서,"관광 편의성이 높아서(숙박, 교통 등)",실외 관광활동이 다양해서,해외여행 대체지로 적절해서,기타
권역,서울/경인권,674,11.1,46.7,11.1,4.3,9.1,3.6,13.6,0.4
권역,경상권,170,11.8,39.4,12.9,5.3,10.6,4.1,15.9,0
권역,호남권,72,9.7,40.3,20.8,4.2,5.6,4.2,13.9,1.4
권역,충청/강원권,84,8.3,47.6,11.9,4.8,8.3,3.6,13.1,2.4
제주여행 계획월,7월,303,15.5,43.6,14.9,5.3,6.6,4,10.2,0
제주여행 계획월,8월,697,8.9,45.8,11,4.2,10,3.6,15.6,0.9
성별,남자,580,9.8,44.1,12.4,5.5,9.7,4,13.8,0.7
성별,여자,420,12.4,46.4,11.9,3.1,8.1,3.3,14.3,0.5
연령,15~20세,33,18.2,42.4,15.2,12.1,3,3,3,3
연령,21~30세,153,21.6,32.7,15,7.8,11.8,3.3,7.8,0
연령,31~40세,278,12.6,48.9,11.9,4.3,6.8,2.2,12.6,0.7
연령,41~50세,315,7.3,47,11.4,4.1,9.2,4.8,15.9,0.3
연령,51~60세,155,5.8,45.2,11,2.6,10.3,5.2,19.4,0.6
연령,61세 이상,66,4.5,50,12.1,0,10.6,3,18.2,1.5
직업,학생,65,12.3,43.1,13.8,9.2,9.2,6.2,4.6,1.5
직업,사무/전문직,663,11.2,45.2,12.1,3.5,9.7,2.9,15.1,0.5
직업,판매/기술직,106,11.3,44.3,13.2,9.4,6.6,2.8,11.3,0.9
직업,자영업,59,15.3,37.3,11.9,5.1,8.5,6.8,15.3,0
직업,전업주부,77,5.2,48.1,10.4,2.6,7.8,6.5,18.2,1.3
직업,기타(무직 등),30,6.7,56.7,13.3,3.3,6.7,6.7,6.7,0
월 평균 가구소득,400만원 미만,205,11.2,45.4,12.7,7.3,9.8,3.4,9.3,1
월 평균 가구소득,400-599만원,324,11.4,47.2,11.1,4.3,9.3,3.7,12.7,0.3
월 평균 가구소득,600-799만원,220,9.5,46.8,11.4,3.2,10.5,3.2,14.5,0.9
월 평균 가구소득,800만원 이상,251,11.2,40.6,13.9,3.6,6.8,4.4,19.1,0.4
거주지역,서울특별시,429,13.5,46.6,13.5,4.2,7.2,2.8,11.9,0.2
거주지역,부산광역시,67,16.4,40.3,14.9,3,10.4,1.5,13.4,0
거주지역,대구광역시,51,9.8,33.3,13.7,7.8,13.7,3.9,17.6,0
거주지역,인천광역시,59,10.2,47.5,8.5,1.7,11.9,3.4,15.3,1.7
거주지역,광주광역시,37,10.8,37.8,24.3,5.4,5.4,2.7,10.8,2.7
거주지역,대전광역시,33,6.1,54.5,9.1,3,6.1,3,15.2,3
거주지역,울산광역시,21,9.5,33.3,19,9.5,0,4.8,23.8,0
거주지역,세종특별자치도,3,33.3,0,0,33.3,0,0,33.3,0
거주지역,경기도,186,5.9,46.8,6.5,5.4,12.4,5.4,17.2,0.5
거주지역,강원도,16,6.2,43.8,18.8,0,6.2,6.2,12.5,6.2
거주지역,충청도,32,9.4,46.9,12.5,6.2,12.5,3.1,9.4,0
거주지역,전라도,35,8.6,42.9,17.1,2.9,5.7,5.7,17.1,0
거주지역,경상도,31,6.5,51.6,3.2,3.2,12.9,9.7,12.9,0
전체,,1000,10.9,45.1,12.2,4.5,9,3.7,14,0.6
