전체,컬럼별,사례수,자연경관감상,식도락(맛집여행),산/오름/올레길 트레킹,쇼핑,박물관/테마공원 방문,회의/업무/컨벤션/세미나,공연/축제/이벤트 참여,해변활동(해수욕 등),유흥/오락/경마,전통문화체험,종교/순례활동,영화/드라마촬영지방문,역사/문화유적지방문,"레포츠(승마, 골프, ATV 등)",미용(온천/스파/마사지),"호캉스(호텔, 리조트 등)",지인/친척 방문,이쁜 카페/술집 방문
권역,서울/경인권,674,80.9,74.3,53.4,23.4,31,3.3,9.8,44.1,9.2,8.6,2.5,7.6,12.6,12,9.1,28,3.6,26.3
권역,경상권,170,78.2,74.7,49.4,15.9,31.2,3.5,7.6,39.4,7.1,13.5,1.2,11.8,14.1,7.6,10,19.4,3.5,20.6
권역,호남권,72,68.1,70.8,48.6,13.9,26.4,4.2,11.1,33.3,12.5,11.1,0,8.3,16.7,9.7,9.7,25,4.2,16.7
권역,충청/강원권,84,83.3,75,47.6,11.9,42.9,2.4,13.1,44,10.7,11.9,2.4,4.8,20.2,7.1,15.5,21.4,3.6,20.2
제주여행 계획월,7월,303,76.9,71.9,46.9,23.4,29,6.3,10.6,41.9,10.2,12.9,3.3,10.2,12.9,11.2,9.6,22.4,3.6,19.1
제주여행 계획월,8월,697,80.9,75.2,54.1,19.2,32.9,2,9.5,42.8,8.8,8.6,1.6,7.2,14.2,10.5,9.9,27.3,3.6,26.3
성별,남자,580,79.5,71.9,53.4,18.6,30.5,3.4,9.5,43.6,9.8,10.5,1.9,7.4,15,11.9,9.3,24.8,2.4,21.7
성별,여자,420,80,77.4,49.8,23.1,33.3,3.1,10.2,41,8.3,9,2.4,9,12.1,9,10.5,27.1,5.2,27.4
연령,15~20세,33,63.6,60.6,36.4,24.2,30.3,3,12.1,39.4,15.2,12.1,0,18.2,3,6.1,0,21.2,12.1,27.3
연령,21~30세,153,69.3,64.7,53.6,30.7,26.1,8.5,10.5,40.5,14.4,8.5,3.3,9.8,9.8,10.5,13.1,30.7,4.6,22.9
연령,31~40세,278,80.6,71.6,46.8,20.1,34.5,2.5,12.6,38.8,12.2,11.2,3.6,10.1,12.9,10.8,10.4,28.8,1.8,20.5
연령,41~50세,315,78.7,77.1,47,16.8,39,2.5,8.9,46.7,7,9.2,0.6,6.7,15.9,13,8.9,22.2,2.9,26
연령,51~60세,155,88.4,83.9,61.9,18.7,23.9,1.9,8.4,40,3.9,10.3,1.9,3.9,14.8,5.8,9,23.9,5.2,22.6
연령,61세 이상,66,92.4,77.3,77.3,18.2,16.7,1.5,3,50,4.5,9.1,1.5,7.6,19.7,13.6,10.6,25.8,4.5,34.8
직업,학생,65,72.3,72.3,44.6,27.7,27.7,3.1,12.3,32.3,9.2,7.7,0,7.7,6.2,6.2,1.5,21.5,7.7,24.6
직업,사무/전문직,663,81,74.8,51.4,19.9,32.7,3.9,9.8,42.4,10.1,10,2.4,8.7,14.2,11.8,10.7,27.3,2.9,25
직업,판매/기술직,106,71.7,63.2,50.9,23.6,31.1,2.8,15.1,45.3,12.3,13.2,2.8,8.5,16,10.4,13.2,24.5,1.9,14.2
직업,자영업,59,79.7,71.2,61,16.9,20.3,3.4,3.4,39,5.1,8.5,0,5.1,16.9,6.8,10.2,23.7,3.4,18.6
직업,전업주부,77,83.1,81.8,54.5,18.2,37.7,0,7.8,50.6,1.3,10.4,2.6,5.2,9.1,5.2,6.5,23.4,7.8,29.9
직업,기타(무직 등),30,86.7,90,56.7,20,26.7,0,3.3,43.3,6.7,3.3,0,6.7,20,20,3.3,16.7,6.7,33.3
월 평균 가구소득,400만원 미만,205,78.5,68.8,47.3,18,33.2,1.5,8.8,35.6,9.8,10.7,2.4,6.8,12.2,7.3,6.8,20,2,22.9
월 평균 가구소득,400-599만원,324,78.1,72.2,50.6,19.1,28.4,4.3,12.7,41,8,8.6,1.9,7.1,13,10.5,7.4,21.6,2.8,23.1
월 평균 가구소득,600-799만원,220,82.7,78.6,57.3,23.2,38.6,3.6,9.1,44.1,9.5,10.9,0.9,10,16.4,9.5,14.1,28.6,4.5,22.3
월 평균 가구소득,800만원 이상,251,80.1,77.3,52.6,21.9,28.7,3.2,7.6,48.6,10,10,3.2,8.8,13.9,14.7,11.6,33.5,5.2,27.9
거주지역,서울특별시,429,81.4,71.3,53.6,27.7,28,2.6,10,41.7,9.3,9.8,3,8.2,13.3,12.6,9.3,28.7,2.8,24.9
거주지역,부산광역시,67,77.6,73.1,55.2,19.4,23.9,4.5,6,31.3,3,13.4,0,6,14.9,4.5,9,20.9,4.5,20.9
거주지역,대구광역시,51,78.4,76.5,47.1,11.8,27.5,2,9.8,43.1,15.7,15.7,2,15.7,11.8,5.9,11.8,19.6,2,11.8
거주지역,인천광역시,59,79.7,69.5,50.8,11.9,44.1,5.1,8.5,47.5,8.5,11.9,1.7,13.6,16.9,15.3,10.2,22,6.8,32.2
거주지역,광주광역시,37,54.1,70.3,51.4,16.2,16.2,5.4,5.4,32.4,13.5,10.8,0,8.1,8.1,16.2,10.8,18.9,8.1,13.5
거주지역,대전광역시,33,87.9,72.7,54.5,12.1,39.4,3,15.2,51.5,9.1,21.2,6.1,6.1,24.2,9.1,15.2,24.2,3,27.3
거주지역,울산광역시,21,71.4,76.2,47.6,14.3,38.1,4.8,4.8,47.6,0,19,4.8,9.5,14.3,9.5,9.5,9.5,0,28.6
거주지역,세종특별자치도,3,100,100,0,0,33.3,0,33.3,33.3,33.3,0,0,0,33.3,0,0,33.3,33.3,0
거주지역,경기도,186,80.1,82.8,53.8,17.2,33.9,4.3,9.7,48.4,9.1,4.8,1.6,4.3,9.7,9.7,8.1,28.5,4.3,27.4
거주지역,강원도,16,87.5,68.8,50,12.5,31.2,0,18.8,37.5,18.8,6.2,0,0,6.2,6.2,18.8,18.8,0,6.2
거주지역,충청도,32,75,78.1,43.8,12.5,53.1,3.1,6.2,40.6,6.2,6.2,0,6.2,21.9,6.2,15.6,18.8,3.1,21.9
거주지역,전라도,35,82.9,71.4,45.7,11.4,37.1,2.9,17.1,34.3,11.4,11.4,0,8.6,25.7,2.9,8.6,31.4,0,20
거주지역,경상도,31,83.9,74.2,41.9,16.1,48.4,3.2,9.7,45.2,6.5,6.5,0,19.4,16.1,16.1,9.7,22.6,6.5,29
전체,,1000,79.7,74.2,51.9,20.5,31.7,3.3,9.8,42.5,9.2,9.9,2.1,8.1,13.8,10.7,9.8,25.8,3.6,24.1
