행정구역별,2020년주민1인당 생활계폐기물배출량(kg/일/인),2020년생활계폐기물발생량(톤/일),2020년주민등록인구(인),2019년주민1인당 생활계폐기물배출량(kg/일/인),2019년생활계폐기물발생량(톤/일),2019년주민등록인구(인),2018년주민1인당 생활계폐기물배출량(kg/일/인),2018년생활계폐기물발생량(톤/일),2018년주민등록인구(인),2017년주민1인당 생활계폐기물배출량(kg/일/인),2017년생활계폐기물발생량(톤/일),2017년주민등록인구(인),2016년주민1인당 생활계폐기물배출량(kg/일/인),2016년생활계폐기물발생량(톤/일),2016년주민등록인구(인),2015년주민1인당 생활계폐기물배출량(kg/일/인),2015년생활계폐기물발생량(톤/일),2015년주민등록인구(인),2014년주민1인당 생활계폐기물배출량(kg/일/인),2014년생활계폐기물발생량(톤/일),2014년주민등록인구(인)
서울특별시,1,9673.4,9668465,1,9847.4,9729107,1,9492.9,9765623,0.9,9217.3,9857426,1,9608,9930616,0.9,9438.7,10022181,1,9613.8,10103233
부산광역시,1.2,3990.4,3391946,1,3326,3413841,1,3337.2,3441453,1,3343.2,3470653,1,3352.2,3498529,1,3366.4,3513777,1,3397.8,3519401
대구광역시,1.3,3103.6,2418346,1.2,2938.1,2438031,1.2,3014.8,2461769,1.2,2895.4,2475231,1.2,2956.9,2484557,1.2,2966.5,2487829,1.2,2899.4,2493264
인천광역시,1.1,3169.7,2942828,1,2999,2957026,0.9,2775.4,2954642,0.8,2280.1,2948542,0.8,2389.5,2943069,0.6,1897.5,2925815,0.6,1746,2902608
광주광역시,0.9,1351.4,1450062,0.9,1368.3,1456468,0.9,1272.3,1459336,0.9,1269.1,1463770,0.8,1247.2,1469214,0.9,1272.9,1472199,0.9,1316.4,1475884
대전광역시,1,1491.2,1463882,1,1457.2,1474870,1.1,1611.3,1489936,1.1,1664,1502227,1.1,1628.5,1514370,1,1589.8,1518775,0.9,1451.2,1531809
울산광역시,1.2,1387,1136017,1.4,1622.3,1148019,1.3,1550.2,1155623,1.3,1509.8,1165132,1.4,1591.4,1172304,1.3,1551.5,1173534,1.2,1449.3,1166377
세종특별자치시,1.1,375.8,355831,1.3,435.4,340575,1.3,404.3,314126,0.9,241.9,280100,0.7,176.8,243048,0.8,161.6,210884,0.8,120.2,156125
경기도,1.1,15212.8,13427014,1,13196.9,13239666,0.9,12406.1,13077153,0.9,11605.3,12873895,0.9,12069.5,12716780,0.9,11467.1,12522606,0.8,10452.1,12357830
강원도,1.5,2254.5,1542840,1.5,2250.9,1541502,1.5,2372.3,1543052,1.5,2333.5,1550142,1.4,2179.1,1550806,1.3,2031.6,1549507,1.4,2104.1,1544442
충청북도,1.4,2297.8,1600837,1.4,2274.4,1600007,1.4,2163.1,1599252,1.3,2032.9,1594432,1.3,2114.4,1591625,1.1,1680.6,1583952,1.2,1943,1578933
충청남도,1.3,2827.8,2121029,1.3,2822.4,2123709,1.4,2961.9,2126282,1.3,2718.3,2116770,1.2,2502,2096727,1.2,2579.1,2077649,1.2,2482.8,2062273
전라북도,1.2,2227.3,1804104,1.1,2050.6,1818917,1.1,2109.4,1836832,1,1916.2,1854607,1,1847.5,1864791,1,1831.2,1869711,0.9,1705,1871560
전라남도,1.4,2599.9,1851549,1.1,2097.8,1868745,1.1,2066.8,1882970,1,1983,1896424,1,1966.8,1903914,1,1948.6,1908996,1.1,2009.7,1905780
경상북도,1.4,3704.3,2639422,1.3,3569.4,2665836,1.2,3246.2,2676831,1.2,3163.5,2691706,1.1,2885.4,2700398,1,2805,2702826,1,2795.3,2700794
경상남도,1.4,4609.8,3340216,1.3,4471.8,3362553,1.2,3937.3,3373988,1.2,4003.9,3380404,1.2,3951.4,3373871,1,3496.4,3364702,1,3452.5,3350257
제주특별자치도,2,1320.4,674635,1.8,1233.5,670989,2,1313.9,667191,2,1312.1,657083,2,1305.3,641597,1.9,1162.3,624395,1.6,976.2,607346
